,rst_name,menu_name,price,platform
0,모츠커피,에스프레소,"2,000원",1
1,모츠커피,코르네토,"6,500원",1
2,모츠커피,바나나푸딩,"7,500원",1
3,모츠커피,티라미수,"6,800원",1
4,모츠커피,피스타치오 티라미수,"7,800원",1
5,모츠커피,피스타치오 비스켓,"2,500원",1
6,모츠커피,마로키노,"2,800원",1
7,모츠커피,마르텔로,"5,500원",1
8,모츠커피,그라니따,"6,000원",1
9,모츠커피,스트라파짜토,"2,500원",1
10,모츠커피,코르타도,"2,500원",1
11,모츠커피,카푸치노,"3,500원",1
12,모츠커피,콘판나,"2,800원",1
13,모츠커피,코레토,"4,000원",1
0,하이디라오 건대점,청유마라훠궈(오리지널),,1
1,하이디라오 건대점,버섯탕 훠궈,,1
2,하이디라오 건대점,토마토탕훠궈,,1
3,하이디라오 건대점,삼계탕훠궈,,1
4,하이디라오 건대점,새우완자 (100g),"9,900원",1
5,하이디라오 건대점,팡가시우매기(180g),"6,900원",1
6,하이디라오 건대점,하이디라오 특제소고기 (180g),"9,900원",1
7,하이디라오 건대점,하이디라오 천엽(100g),"7,900원",1
8,하이디라오 건대점,오리창자(100g),"6,900원",1
9,하이디라오 건대점,오리피(6개),"5,900원",1
10,하이디라오 건대점,닭다리고기 (150g),"4,500원",1
11,하이디라오 건대점,후추탕훠궈,,1
12,하이디라오 건대점,우유마라훠궈,,1
13,하이디라오 건대점,한국식 소기름훠궈,,1
14,하이디라오 건대점,꽃빵튀김(4개),"3,900원",1
15,하이디라오 건대점,탄탄면 (1인분),"4,500원",1
0,우마이도 건대점,미니차슈덮밥,"5,000원",1
1,우마이도 건대점,돈코츠 라멘 오리지날,"9,000원",1
2,우마이도 건대점,돈코츠 라멘 매운맛,"9,000원",1
3,우마이도 건대점,돈코츠 라멘 시로마루,"9,000원",1
4,우마이도 건대점,생맥주,"4,000원",1
5,우마이도 건대점,교자,"4,000원",1
0,미분당,차돌박이 쌀국수,"9,500원",1
1,미분당,양지 쌀국수,"11,000원",1
2,미분당,차돌양지 쌀국수,"11,500원",1
3,미분당,"차돌,양지,힘줄 쌀국수","12,000원",1
4,미분당,힘줄 쌀국수,"13,000원",1
5,미분당,고구마짜조 3ps,"3,000원",1
6,미분당,가리비짜조 3ps,"3,000원",1
7,미분당,웨딩쇼마이 4ps,"3,000원",1
8,미분당,버팔로윙 3ps,"3,500원",1
