,rst_name,weekday,hours,platform
0,모츠커피,[오늘] 03.31 (일),영업시간: 12:00 - 22:00,1
1,모츠커피,04.01 (월),영업시간: 12:00 - 22:00,1
2,모츠커피,04.02 (화),영업시간: 12:00 - 22:00,1
3,모츠커피,04.03 (수),영업시간: 12:00 - 22:00,1
4,모츠커피,04.04 (목),영업시간: 12:00 - 22:00,1
5,모츠커피,04.05 (금),영업시간: 12:00 - 23:00,1
6,모츠커피,04.06 (토),영업시간: 12:00 - 23:00,1
0,하이디라오 건대점,[오늘] 03.31 (일),영업시간: 10:00 - 22:00,1
1,하이디라오 건대점,04.01 (월),영업시간: 10:00 - 22:00,1
2,하이디라오 건대점,04.02 (화),영업시간: 10:00 - 22:00,1
3,하이디라오 건대점,04.03 (수),영업시간: 10:00 - 22:00,1
4,하이디라오 건대점,04.04 (목),영업시간: 10:00 - 22:00,1
5,하이디라오 건대점,04.05 (금),영업시간: 10:00 - 22:00,1
6,하이디라오 건대점,04.06 (토),영업시간: 10:00 - 22:00,1
0,우마이도 건대점,[오늘] 03.31 (일),영업시간: 11:30 - 21:00,1
1,우마이도 건대점,04.01 (월),영업시간: 11:30 - 21:00,1
2,,,,
3,,,,
4,우마이도 건대점,04.02 (화),영업시간: 11:30 - 21:00,1
5,,,,
6,,,,
7,우마이도 건대점,04.03 (수),영업시간: 11:30 - 21:00,1
8,,,,
9,,,,
10,우마이도 건대점,04.04 (목),영업시간: 11:30 - 21:00,1
11,,,,
12,,,,
13,우마이도 건대점,04.05 (금),영업시간: 11:30 - 21:00,1
14,,,,
15,,,,
16,우마이도 건대점,04.06 (토),영업시간: 11:30 - 21:00,1
17,,,,
18,,,,
0,미분당,[오늘] 03.31 (일),영업시간: 11:00 - 21:00,1
1,미분당,04.01 (월),영업시간: 11:00 - 21:00,1
2,미분당,04.02 (화),영업시간: 11:00 - 21:00,1
3,미분당,04.03 (수),영업시간: 11:00 - 21:00,1
4,미분당,04.04 (목),영업시간: 11:00 - 21:00,1
5,미분당,04.05 (금),영업시간: 11:00 - 21:00,1
6,미분당,04.06 (토),영업시간: 11:00 - 21:00,1
0,원조숯불소금구이,[오늘] 03.31 (일),휴무일,1
1,원조숯불소금구이,04.01 (월),영업시간: 16:30 - 23:00,1
2,원조숯불소금구이,04.02 (화),영업시간: 16:30 - 23:00,1
3,원조숯불소금구이,04.03 (수),영업시간: 16:30 - 23:00,1
4,원조숯불소금구이,04.04 (목),영업시간: 16:30 - 23:00,1
5,원조숯불소금구이,04.05 (금),영업시간: 16:30 - 23:00,1
6,원조숯불소금구이,04.06 (토),영업시간: 16:30 - 23:00,1
0,초라멘,[오늘] 03.31 (일),영업시간: 11:30 - 19:30,1
1,초라멘,04.01 (월),휴무일,1
2,초라멘,04.02 (화),영업시간: 11:30 - 19:30,1
3,,,,
4,초라멘,04.03 (수),영업시간: 11:30 - 19:30,1
5,,,,
6,초라멘,04.04 (목),영업시간: 11:30 - 19:30,1
7,,,,
8,초라멘,04.05 (금),영업시간: 11:30 - 19:30,1
9,,,,
10,초라멘,04.06 (토),영업시간: 11:30 - 19:30,1
11,,,,
0,정면,[오늘] 03.31 (일),휴무일,1
1,정면,04.01 (월),영업시간: 20:30 - 00:00,1
2,,,,
3,정면,04.02 (화),영업시간: 20:30 - 00:00,1
4,,,,
5,정면,04.03 (수),영업시간: 20:30 - 00:00,1
6,,,,
7,정면,04.04 (목),영업시간: 20:30 - 00:00,1
8,,,,
9,정면,04.05 (금),영업시간: 20:30 - 00:00,1
10,,,,
11,정면,04.06 (토),영업시간: 20:30 - 00:00,1
12,,,,
0,daughter,[오늘] 03.31 (일),영업시간: 10:00 - 22:00,1
1,daughter,04.01 (월),영업시간: 11:00 - 22:30,1
2,,,,
3,daughter,04.02 (화),영업시간: 11:00 - 22:30,1
4,,,,
5,daughter,04.03 (수),영업시간: 11:00 - 22:30,1
6,,,,
7,daughter,04.04 (목),영업시간: 11:00 - 22:30,1
8,,,,
9,daughter,04.05 (금),영업시간: 11:00 - 22:30,1
10,,,,
11,daughter,04.06 (토),영업시간: 10:00 - 22:30,1
12,,,,
0,호 파스타,[오늘] 03.31 (일),영업시간: 11:00 - 21:00,1
1,호 파스타,04.01 (월),영업시간: 11:00 - 21:00,1
2,,,,
3,,,,
4,호 파스타,04.02 (화),영업시간: 11:00 - 21:00,1
5,,,,
6,,,,
7,호 파스타,04.03 (수),영업시간: 11:00 - 21:00,1
8,,,,
9,,,,
10,호 파스타,04.04 (목),영업시간: 11:00 - 21:00,1
11,,,,
12,,,,
13,호 파스타,04.05 (금),영업시간: 11:00 - 21:00,1
14,,,,
15,,,,
16,호 파스타,04.06 (토),영업시간: 11:00 - 21:00,1
17,,,,
18,,,,
0,호야초밥참치 본점,[오늘] 03.31 (일),영업시간: 11:30 - 22:00,1
1,호야초밥참치 본점,04.01 (월),휴무일,1
2,호야초밥참치 본점,04.02 (화),영업시간: 11:30 - 22:00,1
3,,,,
4,호야초밥참치 본점,04.03 (수),영업시간: 11:30 - 22:00,1
5,,,,
6,호야초밥참치 본점,04.04 (목),영업시간: 11:30 - 22:00,1
7,,,,
8,호야초밥참치 본점,04.05 (금),영업시간: 11:30 - 22:00,1
9,,,,
10,호야초밥참치 본점,04.06 (토),영업시간: 11:30 - 22:00,1
11,,,,
0,남한강민물매운탕,[오늘] 03.31 (일),영업시간: 11:30 - 22:30,1
1,남한강민물매운탕,04.01 (월),영업시간: 11:30 - 22:30,1
2,남한강민물매운탕,04.02 (화),영업시간: 11:30 - 22:30,1
3,남한강민물매운탕,04.03 (수),영업시간: 11:30 - 22:30,1
4,남한강민물매운탕,04.04 (목),영업시간: 11:30 - 22:30,1
