,rst_name,user_name,review_text,u_rst_tag,ate_menus,date,platform
0,모츠커피,Jeff,건대에서 단하나의 커피숍을 꼽으라면 이집입니다.  에스프레소 맛있고 아메리카노 맛있고 레몬 케이크 맛있고 분위기 딱 좋고 심지어 화장실도 간지 나요!  커피 좋아하시면 만족할 겁니다. 라떼 등 에스프레소 베리에이션 음료도 다 솜씨가 좋아요. 민트라떼인가도 넘나 좋더군요.  레몬케이크만 먹어봤지만 곁들일만한 케이크도 무시못합니다.  분위기는 뭐랄까. 심플하면서 에지가 있어요. 테라스 석도 여운을 줍니다.  전국구 에스프레소바.,차모임 혼카페 캐주얼한 가성비좋은 예쁜 깔끔한 지역주민이찾는 주차불가 야외좌석(테라스),에스프레소 아이스아메리카노 레몬케이크,2023년 6월 24일,1
1,모츠커피,matziplist,식후땡 하러 간 곳. 협소해보였지만 나름 널널..? 했고 늦은 시간이라 디카페인 아아에 라떼 한잔 라떼 달달하니 맛있네. 담에 에스프레소 마시러 가야지,차모임 캐주얼한,아이스 아메리카노,1월 3일,1
2,모츠커피,돼양이,골목에 이런 곳이 있다니 ! 에스프레소 종류가 다양하고 저렴하니 맛나요~ 티라미수 디저트는 쏘쏘.. ㅠㅠ,데이트 숨은맛집 고급스러운 예쁜 깔끔한 이국적/이색적 주차불가,티라미수 마르텔로 비앙코,3월 15일,1
3,모츠커피,튼탄맘,너무 예쁘고 분위기 좋고 맛있었고 데이트 하기 딱 좋더라구요 또 가고 싶어요,데이트 예쁜,티라미수,2일 전,1
4,모츠커피,단미,매장이 무척 차분하도 조용해서 좋았어요  디저트 자체도 엄청 맛있어서 계속 먹게 되었고 음료도 무척 맛있었어요  친구들이랑 방문했는데 다들 너무 맛있다거 또 올것같다고 하더라고요,데이트 기념일 간식 예쁜 깔끔한,스트라파짜토 멘타 레몬그라니타 티라미수 바나나푸딩,2023년 8월 1일,1
5,모츠커피,여름,에스프레소바여서 그런지 커피거 맛있어요 매장 분위기도 좋아요,혼카페 깔끔한,아메리카노,1월 25일,1
6,모츠커피,이구아날,바나나 푸딩 맛집이라고 들어서 갔는데 맛은 생각보다 보통이었음,차모임 혼카페 데이트 간식 조용한 깔끔한 경관/야경이좋은 지역주민이찾는,바나나푸딩 아메리카노,2023년 10월 3일,1
7,모츠커피,봉어이,"에스프레소가 맛있는 곳이에요:) 종류도 많고 일반 커피도 많습니다 카페 분위기도 너무 좋고, 화장실이 감각적이고 향이 좋습니다 !",혼카페 숨은맛집 캐주얼한 조용한 깔끔한 이국적/이색적 지역주민이찾는 야외좌석(테라스),마르텔로 비앙코,2023년 5월 23일,1
8,모츠커피,루크,커피 정말 맛있고 디저트도 맛있습니다. 음악도 좋은걸 틀어주십니다. 누구든지 가면 만족할거같아요.,혼술 데이트 숨은맛집 시끌벅적한,에스프레소 코르네토 아메리카노,2023년 7월 4일,1
9,모츠커피,먹생먹사,"건대역과 어린이대공원역 사이 에스프레소가 맛있는 곳.  우드 톤의 감성 있는 에스프레소바다. 에스프레소는 물론 다양한 종류의 커피가 준비되어 있다. 메뉴가 다양한데 다 맛있어보여서 고민을 엄청 했다! 결국 콘판나와 마로키노를 주문했고, 디저트는 피스타치오 랍스타테일.  콘판나는 에스프레소에 크림이 더해진 커피다. 에스프레소가 쓰기만 하다는 생각은 버려야 한다. 부드럽고 맛있어서 매력적이다. 마로키노는 에스프레소에 초코블렌딩우유가 들어간 커피. 쌉싸름한 초코 맛이 에스프레소와 더해져서 좋다. 랍스타테일은 랍스타 꼬리 모양을 한 바삭한 식감의 페스츄리다. 단순히 페스츄리를 생각했는데, 생각보다 엄청 바삭하고 과자같은 식감이었다.",차모임 혼카페 데이트 숨은맛집 캐주얼한 조용한 깔끔한 지역주민이찾는,콘판나 마로키노 랍스타테일,2022년 7월 27일,1
10,모츠커피,이시안,손님에 따라 다르겠지만 시끌벅적한 분위기 입니다. 화장실 깔끔하고 커피는 그냥 무난한 커피입니다. 에스프레소 양이 적다는 글을 봤는데 확실히 다른 매장보다 적은 편인것 같아요. 덜 추출됐나 생각이 들 정도이지만 진한편도 아닙니다. 기대했던 것만틈 엄청 맛있는 편도 맛없는 편도 아닌 그냥 무난한 커피맛이었어요. 판나코타는 상큼한 푸딩 좋아하시는 분이라면 좋아할 것 같아요. 취급하는 가게가 없는편이라 한번쯤 드셔보시는 것도 경험으로 좋을 것 같아요.,차모임 혼카페 데이트 간식 서민적인 캐주얼한 가성비좋은 시끌벅적한 깔끔한,에스프레소 판나코타,2022년 4월 19일,1
11,모츠커피,디어클로이,맛있는 에스프레소 바. 카페가 협소하니 혼자가서 꼭 바에 앉는 것을 추천함. 생각보다 저 조그만 걸 들고 자리로 오는게 불안했음(이건 내가 덜렁거리는 성격이기 때문) 단 음료를 좋아한다면 마르키노 대추천!! 두잔이상 마셨다면 마지막엔 에스프레소로 마무리 해보세여,차모임 혼카페 데이트 간식 서민적인 깔끔한 지역주민이찾는,에스프레소 마로키노 스트라파짜토,2021년 7월 3일,1
12,모츠커피,EC,에스프레소 한잔 때리기 좋은 곳. 왁자지껄 분위기 덕에 빨랑 한잔 때리고 떠야함... 힙한 분위기 괜찮음.,데이트 캐주얼한 고급스러운 가성비좋은 주차불가,코르네토 콘판나 아메리카노,2023년 2월 26일,1
13,모츠커피,야나두,건대 시장 지나서 안쪽으로 많이 들어와서 위치는 아쉽지만 조용하게 커피 마실 수 있는 에스프레소 바입니다 콘파냐 마시러갔는데 카푸치노가 너무 부드럽고 맛있었어요,혼카페 데이트 간식 숨은맛집 서민적인 조용한 야외좌석(테라스),콘파냐 카푸치노 판나콘타,2022년 9월 8일,1
14,모츠커피,홍냥,푸딘코 보고 간 곳. 디저트 너무 맛있고 좋았다. 역과 좀 떨어져있는 카페였지만 또 찾아가고싶다,데이트 간식 지역주민이찾는 작은 모름,코르네토 - 피스타치오 바닐라빈라떼,2022년 11월 17일,1
15,모츠커피,지니,"다양한 종류의 에스프레소를 판매하는 에스프레소바에요. 건대입구역 근처에 위치하는 곳으로, 기본 에스프레소는 1500원 부터 시작해서 가격도 좋습니다.",차모임 혼카페 데이트 캐주얼한 예쁜 깔끔한,스트라파짜토 스폴리아텔라 콘판나,2020년 10월 14일,1
16,모츠커피,똥개,다음에 가면 에스프레소도 도전해보고싶다. 커피 자체가 맛있었다. 디저트도 맛있어서 다음에 커스터드도 먹어보고 싶다.,차모임 혼카페 캐주얼한 지역주민이찾는,아메리카노 바닐라빈라떼 코르네토,2022년 10월 27일,1
17,모츠커피,밤비,"화양동에 있는 에스프레소바, 마르텔로 정말 맛있고 에스프레소도 맛있습니다. 자주가는 커피 맛집이예요~",차모임 혼카페 데이트 간식 카페투어 카페 커피 에스프레소바 숨은맛집 서민적인 가성비좋은 조용한 깔끔한 지역주민이찾는 야외좌석(테라스),에스프레소 마르텔로 아메리카노,2021년 7월 5일,1
18,모츠커피,꼬치,에스프레서 바라는 공간 자체가 생소한데 이질적이지 않게 가격과 메뉴를 구상하신 것 같아요.,차모임 혼카페 데이트 간식 테이크아웃 캐주얼한,에스프레소 마로키노,2022년 3월 13일,1
19,모츠커피,리니,다양한 종류의 에스프레소와 베이커리를 즐길 수 있는 특색있는 공간이예용 맛나요 !,혼카페 데이트 가성비좋은 예쁜 지역주민이찾는 야외좌석(테라스),바닐라라떼,2022년 5월 9일,1
20,모츠커피,떡볶이좋아맨,에스프레소를 전문으로 하는 집이지만 레몬 그라니따도 맛있고 베이커리도 맛있습니다.,데이트 이국적/이색적,레몬그라니따,2021년 10월 31일,1
21,모츠커피,코고는고양이,에스프레소바는 처음인데 분위기도 좋고 맛도 있어요! 디저트도 맛나요,차모임 데이트 숨은맛집 조용한,비앙코 라떼,2022년 6월 5일,1
22,모츠커피,슈슈,분위기도 좋고 에스프레소 종류도 다양해요 논커피도 있고 디저트도 굿,간식 깔끔한 이국적/이색적,에스프레소,2022년 5월 29일,1
23,모츠커피,오잉,요즘 유행하는 에스프레소바 놀이터 뷰가 맘에 들어서 자주갈래요,혼카페 간식 조용한 깔끔한 지역주민이찾는 야외좌석(테라스),그라나따,2021년 7월 2일,1
