,name,category,sub_category,address,contact,platform
0,대동집 건대점,2,"['술집', '막걸리']",서울특별시 광진구 화양동 48-19,0507-1388-2257,1
0,도원,2,"['술집', '룸술집']",서울특별시 광진구 화양동 8-19,0507-1456-0826,1
0,도원,2,"['술집', '룸술집']",서울특별시 광진구 화양동 8-19,0507-1456-0826,1
0,서울낙업,2,"['이자카야', '하이볼']",서울특별시 광진구 화양동 5-35,0507-1385-0071,1
0,요비,2,"['이자카야', '사시미']",서울특별시 광진구 화양동 9-45,0507-1399-1080,1
0,일광,2,"['이자카야', '술집']",서울시 광진구 화양동 47-43,0507-1364-2933,1
0,짱돌,2,"['요리주점', '술집']",서울특별시 광진구 화양동 5-97 지층 까만 대문,0507-1342-3672,1
0,무이,2,"['이자카야', '고등어봉초밥']","서울특별시 광진구 화양동 111-36 2,3층",0507-1385-8079,1
0,만경상회 건대본점,2,"['술집', '하이볼']",서울특별시 광진구 화양동 49-14,0507-1407-4603,1
0,홍콩포차,2,"['포차', '술집']",서울특별시 광진구 화양동 132-75,0507-1405-0205,1
0,리파인 건대점,2,"['술집', '전통주']",서울특별시 광진구 화양동 12-36,0507-1440-4865,1
0,재즈레스토랑,2,"['술집', '돈가스']",서울특별시 광진구 화양동 18-5,02-465-9901,1
0,시선,2,"['이자카야', '술집']",서울특별시 광진구 화양동 5-28,0507-1372-5582,1
0,해일로,2,"['술집', '전통주']",서울특별시 광진구 화양동 393-12,070-7543-1099,1
0,화양슈퍼,2,"['술집', '가맥']",서울시 광진구 화양동 48-21,,1
0,후타리 본,2,"['이자카야', '술집']",서울특별시 광진구 화양동 8-39,0507-1403-4499,1
0,질서정연,2,"['와인바', '술집']",서울특별시 광진구 화양동 46-1,010-8610-6141,1
0,후토,2,"['이자카야', '꼬치']",서울특별시 광진구 화양동 8-59,0507-1339-8590,1
0,진맥,2,"['술집', 'LP바']",서울특별시 광진구 화양동 32-17,0507-1398-7229,1
0,토리광,2,"['이자카야', '모듬꼬치']",서울특별시 광진구 화양동 45-72,0507-1478-5884,1
0,바스타,2,"['칵테일', '칵테일바']",서울특별시 광진구 화양동 5-72 지하1층,0507-1466-0617,1
0,맥주꾼,2,"['순살치킨', '골뱅이쫄면']",서울특별시 광진구 화양동 9-46,0507-1471-5031,1
0,금복주류 건대점,2,"['술집', '막걸리']",서울특별시 광진구 화양동 8-20,0507-1493-3691,1
0,코후쿠,2,"['이자카야', '밀푀유나베']",서울특별시 광진구 화양동 9-36,0507-1421-3842,1
0,새마을포차,2,"['술집', '포차']",서울특별시 광진구 화양동 8-19,0507-1351-3940,1
0,하이바 건대점,2,"['연어사시미', '닭껍질튀김']",서울특별시 광진구 화양동 8-88,0507-1332-9504,1
0,조선주막,2,"['막걸리', '술집']",서울특별시 광진구 화양동 5-59,0507-1421-1803,1
0,김창훈포차,2,"['술집', '곱도리탕']",서울특별시 광진구 화양동 33-43 1층 김창훈포차,0507-1325-2084,1
0,언리미티드,2,"['칵테일', '술집']",서울 광진구 화양동 9-80 지하1층,0507-1431-9298,1
0,이찌방이야기 본점,2,"['술집', '이자카야']",서울특별시 광진구 화양동 46-47,0507-1393-1144,1
0,사이사,2,"['이자카야', '꼬치']",서울특별시 광진구 화양동 11-22,02-466-0424,1
0,잔실내포차 건대점,2,"['술집', '포차']",서울특별시 광진구 화양동 9-51,,1
0,셰프노리,2,"['요리주점', '조개전골']",서울특별시 광진구 화양동 3-3,0507-1305-5233,1
0,도키도키,2,"['이자카야', '룸술집']",서울특별시 광진구 화양동 8-1,0507-1311-9884,1
0,몽움,2,"['육회', '육사시미']",서울특별시 광진구 화양동 46-9,02-6952-6661,1
0,제주바다 건대점,2,"['술집', '하이볼']",서울특별시 광진구 화양동 8-24,02-465-3901,1
0,개화정,2,"['술집', '육회']",서울시 광진구 화양동 48-22,0507-1478-0901,1
