,rst_name,menu_name,price,platform
0,대동집 건대점,녹두반반파전,"18,000원",1
1,대동집 건대점,대동보쌈,"28,000원",1
2,대동집 건대점,골뱅이낙지무침과수육,"29,000원",1
3,대동집 건대점,대동 깐쇼새우,"20,000원",1
4,대동집 건대점,삼겹두부김치,"18,000원",1
5,대동집 건대점,매콤오돌뼈볶음&주먹밥,"21,000원",1
6,대동집 건대점,맑은 바지락탕,"18,000원",1
7,대동집 건대점,대동알탕,"24,000원",1
8,대동집 건대점,수제고추튀김,"18,000원",1
9,대동집 건대점,멸치국수,"6,000원",1
10,대동집 건대점,비빔국수,"7,000원",1
11,대동집 건대점,녹두 해물 파전,"16,000원",1
12,대동집 건대점,녹두 해물 김치전,"17,000원",1
13,대동집 건대점,대동 육전,"19,000원",1
14,대동집 건대점,대동 감자전,"16,000원",1
15,대동집 건대점,대동 치즈 감자전,"18,000원",1
16,대동집 건대점,대동삼합,"39,000원",1
17,대동집 건대점,대동 가래떡볶이와 핫도그,"14,000원",1
18,대동집 건대점,고추고갈비,"16,000원",1
19,대동집 건대점,육회 (매운맛 또는 참기름맛),"17,000원",1
20,대동집 건대점,대동 소시지야채볶음과 감자튀김,"17,000원",1
21,대동집 건대점,참소라숙회,"18,000원",1
22,대동집 건대점,김말이 골뱅이무침,"19,000원",1
23,대동집 건대점,매콤국물닭발,"19,000원",1
24,대동집 건대점,대동 케이-로제 찜닭,"20,000원",1
25,대동집 건대점,대동 순살 찜닭,"21,000원",1
26,대동집 건대점,문어초회,"21,000원",1
27,대동집 건대점,대동 편육냉채,"22,000원",1
28,대동집 건대점,꼬막(계절메뉴),"19,000원",1
29,대동집 건대점,불꼬막(계절메뉴),"20,000원",1
30,대동집 건대점,반반꼬막(계절메뉴),"20,000원",1
31,대동집 건대점,대동 닭똥집 볶음,"17,000원",1
32,대동집 건대점,대동 두부 제육 두루치기,"19,000원",1
33,대동집 건대점,태양초 낙지 볶음,"21,000원",1
34,대동집 건대점,알쌈 삼겹쭈꾸미 볶음,"23,000원",1
35,대동집 건대점,치즈불닭볶음&주먹밥,"25,000원",1
36,대동집 건대점,부산오뎅탕,"16,000원",1
37,대동집 건대점,김치 우동 오뎅탕,"17,000원",1
38,대동집 건대점,대동 부대찌개,"18,000원",1
39,대동집 건대점,얼큰 수제비 민물새우탕,"18,000원",1
40,대동집 건대점,대동 돼지고기 짜글이,"21,000원",1
41,대동집 건대점,대동 토종 순대전골,"23,000원",1
42,대동집 건대점,꼬치어묵 통골뱅이탕,"24,000원",1
43,대동집 건대점,통오징어 짬뽕탕,"24,000원",1
44,대동집 건대점,허니버터 치즈볼과 감자튀김,"12,000원",1
45,대동집 건대점,대동 고로케와 샐러드,"12,000원",1
46,대동집 건대점,대동 순살 깨간장 치킨,"19,000원",1
47,대동집 건대점,윙봉치긴과 감자튀김,"20,000원",1
48,대동집 건대점,매콤왕두부,"10,000원",1
49,대동집 건대점,버터 명란구이,"15,000원",1
50,대동집 건대점,반건조 오징어와 땅콩,"14,000원",1
51,대동집 건대점,먹태구이와 땅콩,"15,000원",1
52,대동집 건대점,얼음황도,"9,000원",1
53,대동집 건대점,날치알 주먹밥,"4,500원",1
0,도원,과일 막걸리,"10,000원",1
1,도원,족살수육(중),"19,800원",1
2,도원,모듬순대(중),"15,800원",1
3,도원,아보카도 명란구이와 빠다통감자,"15,800원",1
4,도원,도원 버섯 샤브칼국수,"19,800원",1
5,도원,신선로 아보카도 한우++육회,"21,800원",1
6,도원,베이컨 페퍼치즈 김치전,"16,800원",1
7,도원,도원 수제 유린기,"15,800원",1
8,도원,오삼산더미콩불,"17,800원",1
9,도원,미나리 대패삼겹과 파절이,"16,800원",1
10,도원,하트쉬림프 부추가득전,"16,800원",1
11,도원,육전과 부추파절이,"16,800원",1
12,도원,차돌 육개장전골,"17,800원",1
13,도원,신선로 딸기눈꽃빙수(봄),"13,800원",1
0,도원,과일 막걸리,"10,000원",1
1,도원,족살수육(중),"19,800원",1
2,도원,모듬순대(중),"15,800원",1
3,도원,아보카도 명란구이와 빠다통감자,"15,800원",1
4,도원,도원 버섯 샤브칼국수,"19,800원",1
5,도원,신선로 아보카도 한우++육회,"21,800원",1
6,도원,베이컨 페퍼치즈 김치전,"16,800원",1
7,도원,도원 수제 유린기,"15,800원",1
8,도원,오삼산더미콩불,"17,800원",1
9,도원,미나리 대패삼겹과 파절이,"16,800원",1
10,도원,하트쉬림프 부추가득전,"16,800원",1
11,도원,육전과 부추파절이,"16,800원",1
12,도원,차돌 육개장전골,"17,800원",1
13,도원,신선로 딸기눈꽃빙수(봄),"13,800원",1
