,rst_name,weekday,hours,platform
0,모츠커피,[오늘] 04.01 (월),영업시간: 12:00 - 22:00,1
1,모츠커피,04.02 (화),영업시간: 12:00 - 22:00,1
2,모츠커피,04.03 (수),영업시간: 12:00 - 22:00,1
3,모츠커피,04.04 (목),영업시간: 12:00 - 22:00,1
4,모츠커피,04.05 (금),영업시간: 12:00 - 23:00,1
5,모츠커피,04.06 (토),영업시간: 12:00 - 23:00,1
6,모츠커피,04.07 (일),영업시간: 12:00 - 22:00,1
0,daughter,[오늘] 04.01 (월),영업시간: 11:00 - 22:30,1
1,daughter,04.02 (화),영업시간: 11:00 - 22:30,1
2,,,,
3,daughter,04.03 (수),영업시간: 11:00 - 22:30,1
4,,,,
5,daughter,04.04 (목),영업시간: 11:00 - 22:30,1
6,,,,
7,daughter,04.05 (금),영업시간: 11:00 - 22:30,1
8,,,,
9,daughter,04.06 (토),영업시간: 10:00 - 22:30,1
10,,,,
11,daughter,04.07 (일),영업시간: 10:00 - 22:00,1
12,,,,
0,꼬메노,[오늘] 04.01 (월),영업시간: 13:00 - 22:30,1
1,꼬메노,04.02 (화),영업시간: 13:00 - 22:30,1
2,꼬메노,04.03 (수),영업시간: 13:00 - 22:30,1
3,꼬메노,04.04 (목),영업시간: 13:00 - 22:30,1
4,꼬메노,04.05 (금),영업시간: 13:00 - 22:30,1
5,꼬메노,04.06 (토),영업시간: 13:00 - 22:30,1
6,꼬메노,04.07 (일),영업시간: 13:00 - 22:30,1
0,마우스래빗,[오늘] 04.01 (월),영업시간: 12:00 - 23:00,1
1,마우스래빗,04.02 (화),영업시간: 12:00 - 23:00,1
2,마우스래빗,04.03 (수),영업시간: 12:00 - 23:00,1
3,마우스래빗,04.04 (목),영업시간: 12:00 - 23:00,1
4,마우스래빗,04.05 (금),영업시간: 12:00 - 23:00,1
5,마우스래빗,04.06 (토),영업시간: 12:00 - 23:00,1
6,마우스래빗,04.07 (일),영업시간: 12:00 - 23:00,1
0,테라코타,[오늘] 04.01 (월),영업시간: 12:00 - 21:00,1
1,테라코타,04.02 (화),영업시간: 12:00 - 21:00,1
2,테라코타,04.03 (수),영업시간: 12:00 - 21:00,1
3,테라코타,04.04 (목),영업시간: 12:00 - 21:00,1
4,테라코타,04.05 (금),영업시간: 12:00 - 21:00,1
5,테라코타,04.06 (토),영업시간: 12:00 - 20:00,1
6,테라코타,04.07 (일),휴무일,1
0,밀피,[오늘] 04.01 (월),영업시간: 13:00 - 23:00,1
1,밀피,04.02 (화),영업시간: 13:00 - 23:00,1
2,,,,
3,밀피,04.03 (수),영업시간: 13:00 - 23:00,1
4,,,,
5,밀피,04.04 (목),영업시간: 13:00 - 23:00,1
6,,,,
7,밀피,04.05 (금),영업시간: 13:00 - 23:00,1
8,,,,
9,밀피,04.06 (토),영업시간: 12:00 - 23:00,1
10,,,,
11,밀피,04.07 (일),영업시간: 12:00 - 23:00,1
12,,,,
0,커피마켓,[오늘] 04.01 (월),영업시간: 12:00 - 00:00,1
1,커피마켓,04.02 (화),영업시간: 12:00 - 00:00,1
2,커피마켓,04.03 (수),영업시간: 12:00 - 00:00,1
3,커피마켓,04.04 (목),영업시간: 12:00 - 00:00,1
4,커피마켓,04.05 (금),영업시간: 12:00 - 00:00,1
5,커피마켓,04.06 (토),영업시간: 12:00 - 00:00,1
6,커피마켓,04.07 (일),영업시간: 12:00 - 00:00,1
0,꿈꾸다917,[오늘] 04.01 (월),영업시간: 11:00 - 23:00,1
1,꿈꾸다917,04.02 (화),영업시간: 11:00 - 23:00,1
2,꿈꾸다917,04.03 (수),영업시간: 11:00 - 23:00,1
3,꿈꾸다917,04.04 (목),영업시간: 11:00 - 23:00,1
4,꿈꾸다917,04.05 (금),영업시간: 11:00 - 23:00,1
5,꿈꾸다917,04.06 (토),영업시간: 11:00 - 23:00,1
6,꿈꾸다917,04.07 (일),영업시간: 11:00 - 23:00,1
0,릴리베이커리,[오늘] 04.01 (월),영업시간: 10:00 - 23:30,1
1,릴리베이커리,04.02 (화),영업시간: 10:00 - 23:30,1
2,릴리베이커리,04.03 (수),영업시간: 10:00 - 23:30,1
3,릴리베이커리,04.04 (목),영업시간: 10:00 - 23:30,1
4,릴리베이커리,04.05 (금),영업시간: 10:00 - 23:30,1
5,릴리베이커리,04.06 (토),영업시간: 10:00 - 23:30,1
6,릴리베이커리,04.07 (일),영업시간: 10:00 - 23:30,1
0,옥루몽 어린이대공원점,[오늘] 04.01 (월),영업시간: 11:00 - 23:00,1
1,옥루몽 어린이대공원점,04.02 (화),영업시간: 11:00 - 23:00,1
2,옥루몽 어린이대공원점,04.03 (수),영업시간: 11:00 - 23:00,1
3,옥루몽 어린이대공원점,04.04 (목),영업시간: 11:00 - 23:00,1
4,옥루몽 어린이대공원점,04.05 (금),영업시간: 11:00 - 23:00,1
5,옥루몽 어린이대공원점,04.06 (토),영업시간: 11:00 - 23:00,1
6,옥루몽 어린이대공원점,04.07 (일),영업시간: 11:00 - 23:00,1
0,카페 그자체,[오늘] 04.01 (월),영업시간: 12:00 - 22:00,1
1,카페 그자체,04.02 (화),영업시간: 12:00 - 22:00,1
2,카페 그자체,04.03 (수),영업시간: 12:00 - 22:00,1
3,카페 그자체,04.04 (목),영업시간: 12:00 - 22:00,1
4,카페 그자체,04.05 (금),영업시간: 12:00 - 22:00,1
