,rst_name,weekday,hours,platform
0,대동집 건대점,[오늘] 04.01 (월),영업시간: 17:00 - 02:00,1
1,대동집 건대점,04.02 (화),영업시간: 17:00 - 02:00,1
2,대동집 건대점,04.03 (수),영업시간: 17:00 - 02:00,1
3,대동집 건대점,04.04 (목),영업시간: 17:00 - 02:00,1
4,대동집 건대점,04.05 (금),영업시간: 17:00 - 02:00,1
5,대동집 건대점,04.06 (토),영업시간: 17:00 - 04:00,1
6,대동집 건대점,04.07 (일),영업시간: 17:00 - 04:00,1
0,도원,[오늘] 04.01 (월),영업시간 확인 필요,1
1,도원,04.02 (화),확인 필요,1
2,도원,04.03 (수),확인 필요,1
3,도원,04.04 (목),확인 필요,1
4,도원,04.05 (금),확인 필요,1
5,도원,04.06 (토),확인 필요,1
6,도원,04.07 (일),확인 필요,1
0,도원,[오늘] 04.01 (월),영업시간 확인 필요,1
1,도원,04.02 (화),확인 필요,1
2,도원,04.03 (수),확인 필요,1
3,도원,04.04 (목),확인 필요,1
4,도원,04.05 (금),확인 필요,1
5,도원,04.06 (토),확인 필요,1
6,도원,04.07 (일),확인 필요,1
0,서울낙업,[오늘] 04.01 (월),영업시간: 16:00 - 01:00,1.0
1,서울낙업,04.02 (화),휴무일,1.0
2,서울낙업,04.03 (수),영업시간: 16:00 - 01:00,1.0
3,,,,
4,서울낙업,04.04 (목),영업시간: 16:00 - 01:00,1.0
5,,,,
6,서울낙업,04.05 (금),영업시간: 16:00 - 01:00,1.0
7,,,,
8,서울낙업,04.06 (토),영업시간: 13:00 - 01:00,1.0
9,,,,
10,서울낙업,04.07 (일),영업시간: 13:00 - 01:00,1.0
11,,,,
0,요비,[오늘] 04.01 (월),영업시간: 18:00 - 02:00,1
1,요비,04.02 (화),영업시간: 18:00 - 02:00,1
2,요비,04.03 (수),영업시간: 18:00 - 02:00,1
3,요비,04.04 (목),영업시간: 18:00 - 02:00,1
4,요비,04.05 (금),영업시간: 18:00 - 04:00,1
5,요비,04.06 (토),영업시간: 18:00 - 04:00,1
6,요비,04.07 (일),영업시간: 18:00 - 02:00,1
0,일광,[오늘] 04.01 (월),영업시간: 18:30 - 03:00,1
1,일광,04.02 (화),영업시간: 18:30 - 03:00,1
2,일광,04.03 (수),영업시간: 18:30 - 03:00,1
3,일광,04.04 (목),영업시간: 18:30 - 03:00,1
4,일광,04.05 (금),영업시간: 18:30 - 03:00,1
5,일광,04.06 (토),영업시간: 18:30 - 03:00,1
6,일광,04.07 (일),휴무일,1
0,짱돌,[오늘] 04.01 (월),영업시간 확인 필요,1
1,짱돌,04.02 (화),확인 필요,1
2,짱돌,04.03 (수),확인 필요,1
3,짱돌,04.04 (목),확인 필요,1
4,짱돌,04.05 (금),확인 필요,1
5,짱돌,04.06 (토),확인 필요,1
6,짱돌,04.07 (일),확인 필요,1
