name,category,sub_category,address,contact,platform,url,opneing_hours
한국 디저트카페 디플리,1,"카페,디저트",서울 광진구 자양로 312 1층 1-2호,0507-1351-0635,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B4%91%EC%9E%A5%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/1535424794?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 10:00 - 22:30', '수 10:00 - 22:30', '목 10:00 - 22:30', '금 10:00 - 22:30', '토 08:00 - 22:00', '일 08:00 - 22:00', '월(4/8) 정기휴무 (격주 월요일)', '격주 월요일 정기 휴무']"
메가MGC커피 동서울터미널점,1,카페,서울 광진구 강변역로4길 10 1층 110호,0507-1485-1257,0,"https://map.naver.com/p/search/%EA%B5%AC%EC%9D%98%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/1082282713?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 08:00 - 23:00 22:30 라스트오더']
로아카롱,1,"카페,디저트",서울 광진구 광나루로39길 11 구의자이르네 상가 1층 131호,070-7808-9009,0,"https://map.naver.com/p/search/%EA%B5%AC%EC%9D%98%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/1461238202?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 11:30 - 17:00 16:30 라스트오더', '수 11:30 - 17:00 16:30 라스트오더', '목 11:30 - 17:00 16:30 라스트오더', '금 11:30 - 17:00 16:30 라스트오더', '토 정기휴무 (매주 토요일)', '일 정기휴무 (매주 일요일)', '월 11:30 - 17:00 16:30 라스트오더']"
캠토,1,"카페,디저트",서울 광진구 자양로26길 31 명진빌딩,02-452-4165,0,"https://map.naver.com/p/search/%EA%B5%AC%EC%9D%98%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/34551702?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 10:30 - 22:00', '수 10:30 - 22:00', '목 10:30 - 22:00', '금 10:30 - 22:00', '토 11:00 - 22:00', '일 11:00 - 22:00', '월 10:30 - 22:00', '매달 2, 4번째 일요일 정기 휴무']"
쑥쓰럽커피,1,"카페,디저트",서울 광진구 광나루로56길 85,02-3424-1400,0,"https://map.naver.com/p/search/%EA%B5%AC%EC%9D%98%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/1906786921?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 10:00 - 20:00', '수 10:00 - 20:00', '목 10:00 - 20:00', '금 10:00 - 20:00', '토 10:00 - 20:00', '일 10:00 - 20:00', '월 10:00 - 20:00', '매달 2, 4번째 화요일 정기 휴무']"
구이도씨,1,"카페,디저트",서울 광진구 광나루로39길 11 자이르네,010-7570-0762,0,"https://map.naver.com/p/search/%EA%B5%AC%EC%9D%98%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/1769589533?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 11:00 - 18:00 17:30 라스트오더', '수 11:00 - 18:00 17:30 라스트오더', '목 11:00 - 18:00 17:30 라스트오더', '금 11:00 - 18:00 17:30 라스트오더', '토 정기휴무 (매주 토요일)', '일 정기휴무 (매주 일요일)', '월 11:00 - 18:00 17:30 라스트오더']"
솔라시도 커피,1,"카페,디저트",서울 광진구 자양로50길 6 1층,0507-1386-1986,0,"https://map.naver.com/p/search/%EA%B5%AC%EC%9D%98%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/1270362144?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 08:00 - 16:00 15:30 라스트오더', '수 08:00 - 16:00 15:30 라스트오더', '목 08:00 - 16:00 15:30 라스트오더', '금 08:00 - 16:00 15:30 라스트오더', '토 08:00 - 16:00 15:30 라스트오더', '일 정기휴무 (매주 일요일)', '월 08:00 - 16:00 15:30 라스트오더']"
셰프스 카페,1,카페,서울 광진구 아차산로62길 14-2,,0,"https://map.naver.com/p/search/%EA%B5%AC%EC%9D%98%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/33876735?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 09:30 - 24:00']
피에스타7커피 구의점,1,"카페,디저트",서울 광진구 자양로 153 1층,0507-1354-1134,0,"https://map.naver.com/p/search/%EA%B5%AC%EC%9D%98%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/1977390320?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 08:00 - 21:00 20:30 라스트오더', '수 08:00 - 21:00 20:30 라스트오더', '목 08:00 - 21:00 20:30 라스트오더', '금 08:00 - 21:00 20:30 라스트오더', '토 10:00 - 21:00 20:30 라스트오더', '일 10:00 - 21:00 20:30 라스트오더', '월 08:00 - 21:00 20:30 라스트오더']"
반코디,1,카페,서울 광진구 자양로26길 20,02-457-4599,0,"https://map.naver.com/p/search/%EA%B5%AC%EC%9D%98%EB%8F%99%20%EC%B9%B4%ED%8E%98/place/1303872935?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",[]
