name,category,sub_category,address,contact,platform,url,opneing_hours
희식주,0,떡볶이,서울 광진구 광장로1길 18,,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B4%91%EC%9E%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1027150480?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",[]
고향한식뷔페,0,한식,서울 광진구 아차산로78길 44,02-446-0727,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B4%91%EC%9E%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1094518902?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",[]
광나루식당,0,한식,서울 광진구 광장로5길 6,,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B4%91%EC%9E%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/18822377?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",[]
두부한모,0,"칼국수,만두","서울 광진구 광나루로 635 , 현대아파트3단지상가 지하126호",02-2201-9448,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B4%91%EC%9E%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1294594524?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",[]
광장식당,0,한식,서울 광진구 광장로 61,,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B4%91%EC%9E%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1683176583?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",[]
몽이족발,0,"족발,보쌈",서울 광진구 군자로 146 1층,0507-1320-8120,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EA%B5%B0%EC%9E%90%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1291156171?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 정기휴무 (매주 월요일)', '화 17:00 - 02:00', '수 17:00 - 02:00', '목 17:00 - 02:00', '금 17:00 - 02:00', '토 17:00 - 02:00', '일 17:00 - 02:00']"
서울돼지구이,0,돼지고기구이,서울 광진구 능동로 264 한사랑빌딩 1층,070-7537-1057,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1963457179?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 16:30 - 23:00 21:50 라스트오더', '화 16:30 - 23:00 21:50 라스트오더', '수 16:30 - 23:00 21:50 라스트오더', '목 16:30 - 23:00 21:50 라스트오더', '금 16:30 - 23:00 21:50 라스트오더', '토 14:30 - 23:00 21:50 라스트오더', '일 14:30 - 23:00 21:50 라스트오더', '생방송투데이 2978회, 22.01.17. 2022년 1월 17일  황지살/황지살청국장/황지살떡볶이']"
청와옥 군자역직영점,0,"순대,순댓국",서울 광진구 천호대로 562,0507-1462-0182,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1013931704?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 08:00 - 22:00 21:00 라스트오더', '화 08:00 - 22:00 21:00 라스트오더', '수 08:00 - 22:00 21:00 라스트오더', '목 08:00 - 22:00 21:00 라스트오더', '금 08:00 - 22:00 21:00 라스트오더', '토 08:00 - 22:00 21:00 라스트오더', '일 08:00 - 22:00 21:00 라스트오더']"
에이뿔램 군자점,0,양갈비,서울 광진구 능동로36길 36 2층,0507-1350-5188,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36321303?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 16:00 - 24:00 23:00 라스트오더']
LAB41,0,양식,서울 광진구 능동로 300 2층,0507-1425-0704,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/552724285?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 11:00 - 23:00 16:00 - 17:00 브레이크타임 14:30, 21:30 라스트오더', '화 11:00 - 23:00 16:00 - 17:00 브레이크타임 14:30, 21:30 라스트오더', '수 11:00 - 23:00 16:00 - 17:00 브레이크타임 14:30, 21:30 라스트오더', '목 11:00 - 23:00 16:00 - 17:00 브레이크타임 14:30, 21:30 라스트오더', '금 11:00 - 23:00 16:00 - 17:00 브레이크타임 14:30, 21:30 라스트오더', '토 11:00 - 23:00 21:30 라스트오더', '일 11:00 - 22:00 20:30 라스트오더', '매달 4번째 월요일 정기 휴무']"
소사면옥,0,냉면,서울 광진구 능동로 270 1층,0507-1404-0904,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1219709008?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 정기휴무 (매주 월요일)', '화 11:00 - 21:30 21:00 라스트오더', '수 11:00 - 21:30 21:00 라스트오더', '목 11:00 - 21:30 21:00 라스트오더', '금 11:00 - 21:30 21:00 라스트오더', '토 11:00 - 21:30 21:00 라스트오더', '일 11:00 - 21:30 21:00 라스트오더', '생방송오늘저녁 2068회, 23.07.24. 2023년 7월 24일  코다리냉면', '']"
후문 카페,0,양식,서울 광진구 능동로36길 183,02-455-2789,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1190128052?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 09:00 - 22:30 16:00 - 17:00 브레이크타임 21:30 라스트오더', '화 09:00 - 22:30 16:00 - 17:00 브레이크타임 21:30 라스트오더', '수 09:00 - 22:30 16:00 - 17:00 브레이크타임 21:30 라스트오더', '목 09:00 - 22:30 16:00 - 17:00 브레이크타임 21:30 라스트오더', '금 09:00 - 22:30 16:00 - 17:00 브레이크타임 21:30 라스트오더', '토 09:00 - 22:30 16:00 - 17:00 브레이크타임 21:30 라스트오더', '일 09:00 - 22:30 16:00 - 17:00 브레이크타임 21:30 라스트오더']"
연어시장 군자점,0,일식당,서울 광진구 능동로36길 8 2층,0507-1383-3602,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1670639123?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 정기휴무 (매주 월요일)', '화 14:00 - 24:00 23:30 라스트오더', '수 14:00 - 24:00 23:30 라스트오더', '목 14:00 - 24:00 23:30 라스트오더', '금 14:00 - 24:00 23:30 라스트오더', '토 14:00 - 24:00 23:30 라스트오더', '일 14:00 - 24:00 23:30 라스트오더']"
나능이능이버섯백숙 아차산직영점,0,"백숙,삼계탕",서울 광진구 천호대로 646 1층,0507-1469-5255,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1137652161?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 10:00 - 21:40 15:00 - 16:00 브레이크타임 20:30 라스트오더', '화 10:00 - 21:40 15:00 - 16:00 브레이크타임 20:30 라스트오더', '수 10:00 - 21:40 15:00 - 16:00 브레이크타임 20:30 라스트오더', '목 10:00 - 21:40 15:00 - 16:00 브레이크타임 20:30 라스트오더', '금 10:00 - 21:40 15:00 - 16:00 브레이크타임 20:30 라스트오더', '토 10:00 - 21:40 20:30 라스트오더', '일 10:00 - 21:40 20:30 라스트오더']"
소바쿠,0,"우동,소바",서울 광진구 천호대로 650,02-447-1470,0,"https://map.naver.com/p/search/%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37873204?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 11:30 - 20:50 15:00 - 17:00 브레이크타임 19:55 라스트오더', '화 11:30 - 20:50 15:00 - 17:00 브레이크타임 19:55 라스트오더', '수 정기휴무 (매주 수요일)', '목 11:30 - 20:50 15:00 - 17:00 브레이크타임 19:55 라스트오더', '금 11:30 - 20:50 15:00 - 17:00 브레이크타임 19:55 라스트오더', '토 11:30 - 20:50 15:00 - 17:00 브레이크타임 19:55 라스트오더', '일 11:30 - 20:50 15:00 - 17:00 브레이크타임 19:55 라스트오더']"
