name,category,sub_category,address,dist_from_station,contact,platform,url,opneing_hours
곱창지존 송파점,0,"곱창,막창,양",서울 송파구 오금로 152 1층 곱창지존,송파나루역 1번 출구에서 47m,0507-1464-5161,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1528877947?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%25259D%25258C%2525EC%25258B%25259D%2525EC%2525A0%252590","['월 17:00 - 24:00', '화 17:00 - 24:00', '수(5/15) 부처님 오신 날 휴무', '목 17:00 - 24:00', '금 17:00 - 01:00', '토 17:00 - 01:00', '일 정기휴무 (매주 일요일)', '']"
커피랑도서관 송파나루역점,0,스터디카페,서울 송파구 오금로 154 4층 전체,송파나루역 1번 출구에서 6m,0507-1363-1145,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/35150466?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%25259D%25258C%2525EC%25258B%25259D%2525EC%2525A0%252590",['매일 00:00 - 24:00']
일일향 잠실점,0,중식당,서울 송파구 석촌호수로 290 성우빌딩,송파나루역 1번 출구에서 482m,0507-1432-0678,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1562143331?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 11:30 - 21:30 15:00 - 16:00 브레이크타임 20:50 라스트오더']
미엔아이,0,아시아음식,서울 송파구 오금로16길 5,송파나루역 1번 출구에서 315m,0507-1333-0652,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1978624931?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 11:20 - 21:00 14:30 - 17:20 브레이크타임', '화 11:20 - 21:00 14:30 - 17:20 브레이크타임', '수(5/15) 부처님 오신 날11:20 - 21:00 15:00 - 17:20 브레이크타임', '목 11:20 - 21:00 14:30 - 17:20 브레이크타임', '금 11:20 - 21:00 14:30 - 17:20 브레이크타임', '토 11:20 - 21:00', '일 11:20 - 21:00', '생방송투데이 2723회, 20.12.21. 2020년 12월 21일  대만우육미엔/마라우육미엔', '']"
강남면옥 신천점,0,냉면,"서울 송파구 올림픽로8길 21 1층, 2층",종합운동장역 4번 출구에서 87m,02-424-8889,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/36417107?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 11:00 - 21:40 21:30 라스트오더']
개나리아구찜 본점,0,한식,서울 송파구 오금로15길 7-8 1층,송파나루역 2번 출구에서 436m,0507-1360-0060,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1505588868?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 16:00 - 23:00 22:00 라스트오더', '화 16:00 - 23:00 22:00 라스트오더', '수 16:00 - 23:00 22:00 라스트오더', '목 16:00 - 23:00 22:00 라스트오더', '금 16:00 - 23:00 22:00 라스트오더', '토 12:00 - 23:00 15:00 - 16:00 브레이크타임 22:00 라스트오더', '일 12:00 - 23:00 15:00 - 16:00 브레이크타임 22:00 라스트오더', '생방송오늘저녁 2152회, 23.12.05. 2023년 12월 5일  한우대창아구찜/피자김치전', '', '']"
쭈꾸미도사 잠실새내점,0,주꾸미요리,서울 송파구 백제고분로7길 30 1층,잠실새내역 4번 출구에서 30m,0507-1305-0524,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1781644370?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 11:00 - 01:00 00:30 라스트오더', '화 11:00 - 01:00 00:30 라스트오더', '수 11:00 - 01:00 00:30 라스트오더', '목 11:00 - 01:00 00:30 라스트오더', '금 11:00 - 01:00 00:30 라스트오더', '토 11:00 - 01:00 00:30 라스트오더', '일 11:00 - 23:00 22:30 라스트오더']"
본디,0,"육류,고기요리",서울 송파구 백제고분로41길 18 1층 일부,석촌역 2번 출구에서 30m,0507-1463-3636,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1197609869?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 12:00 - 22:30 14:30 - 16:30 브레이크타임 14:00, 22:00 라스트오더', '화 12:00 - 22:30 14:30 - 16:30 브레이크타임 14:00, 22:00 라스트오더', '수(5/15) 12:00 - 22:30', '목 12:00 - 22:30 14:30 - 16:30 브레이크타임 14:00, 22:00 라스트오더', '금 12:00 - 22:30 22:00 라스트오더', '토 12:00 - 22:30 22:00 라스트오더', '일 12:00 - 22:30 22:00 라스트오더', '줄서는식당 13회, 24.05.06. 2024년 5월 6일  돼지생갈비/장작껍데기']"
갓잇 송리단길점,0,"멕시코,남미음식","서울 송파구 오금로16길 20 1, 2F GODEAT",송파나루역 1번 출구에서 46m,0507-1403-9451,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1246280409?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 11:00 - 21:30 15:00 - 16:30 브레이크타임 20:30 라스트오더', '화 11:00 - 21:30 15:00 - 16:30 브레이크타임 20:30 라스트오더', '수(5/15) 부처님 오신 날11:00 - 21:30', '목 11:00 - 21:30 15:00 - 16:30 브레이크타임 20:30 라스트오더', '금 11:00 - 21:30 15:00 - 16:30 브레이크타임 20:30 라스트오더', '토 11:00 - 21:30 20:30 라스트오더', '일 11:00 - 21:30 20:30 라스트오더', '생방송투데이 2435회, 19.10.21. 2019년 10월 21일  멕시코쌈']"
차만다,0,양식,서울 송파구 오금로16길 4-15 반도빌딩 1층,송파나루역 1번 출구에서 382m,0507-1424-0814,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1012582293?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 11:30 - 21:30 15:00 - 17:30 브레이크타임 21:00 라스트오더', '화 11:30 - 21:30 15:00 - 17:30 브레이크타임 21:00 라스트오더', '수(5/15) 부처님 오신 날12:00 - 21:30', '목 11:30 - 21:30 15:00 - 17:30 브레이크타임 21:00 라스트오더', '금 11:30 - 21:30 15:00 - 17:30 브레이크타임 21:00 라스트오더', '토 12:00 - 21:30 21:00 라스트오더', '일 12:00 - 21:30 21:00 라스트오더', '생활의달인 658회, 19.02.18. 2019년 2월 18일  영국가정식']"
바이킹스워프 롯데월드몰점,0,바닷가재요리,서울 송파구 올림픽로 300 롯데월드몰 4층,잠실역 11번 출구에서 339m,1644-3210,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/35823506?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['월 12:00 - 21:00 15:00 - 18:00 브레이크타임', '화 12:00 - 21:00 15:00 - 18:00 브레이크타임', '수(5/15) 부처님 오신 날11:30 - 21:00 13:20 - 13:40 브레이크타임 15:30 - 17:00 브레이크타임 18:50 - 19:10 브레이크타임', '목 12:00 - 21:00 15:00 - 18:00 브레이크타임', '금 12:00 - 21:00 15:00 - 18:00 브레이크타임', '토 11:30 - 21:00 13:20 - 13:40 브레이크타임 15:30 - 17:00 브레이크타임 18:50 - 19:10 브레이크타임', '일 11:30 - 21:00 13:20 - 13:40 브레이크타임 15:30 - 17:00 브레이크타임 18:50 - 19:10 브레이크타임']"
