name,category,sub_category,address,dist_from_station,contact,platform,url,opneing_hours
카페 페퍼,1,"카페,디저트",서울 송파구 백제고분로45길 12 2층 카페페퍼,송파나루역 1번 출구에서 23m,,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598",['매일 12:00 - 21:00']
벨라스가든 석촌호수점,1,브런치카페,서울 송파구 백제고분로41길 42-19 1층,송파나루역 1번 출구에서 64m,0507-1428-4243,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/859737654?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 10:00 - 23:00 15:00 - 17:00 브레이크타임 21:50 라스트오더', '목 10:00 - 23:00 15:00 - 17:00 브레이크타임 21:50 라스트오더', '금 10:00 - 23:00 15:00 - 17:00 브레이크타임 21:50 라스트오더', '토 10:00 - 23:00 16:00 - 17:00 브레이크타임 21:50 라스트오더', '일 10:00 - 23:00 16:00 - 17:00 브레이크타임 21:50 라스트오더', '월 10:00 - 23:00 15:00 - 17:00 브레이크타임 21:50 라스트오더', '화 10:00 - 23:00 15:00 - 17:00 브레이크타임 21:50 라스트오더', '미식클럽 7회, 18.07.20. 2018년 7월 20일  새우과카몰리오픈샌드위치/아보카도트리오']"
니커버커베이글,1,"카페,디저트",서울 송파구 석촌호수로 268 1층 109~112호,석촌역 1번 출구에서 5m,0507-1393-8808,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1850642692?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 09:00 - 18:00', '목 09:00 - 18:00', '금 09:00 - 18:00', '토 09:00 - 19:00', '일 09:00 - 19:00', '월 09:00 - 18:00', '화 09:00 - 18:00', '줄서는식당 30회, 22.08.15. 2022년 8월 15일  토마토크림수프/시나몬레이즈딸기크림치즈/갈릭어니언파크림치즈/연어샌드위치/아보카도샌드위치/루벤샌드위치']"
키친205 롯데월드몰점,1,"카페,디저트",서울 송파구 올림픽로 300 롯데월드몰 지하1층,잠실역 10번 출구에서 14m,02-3213-2831,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1159180795?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 10:30 - 22:00']
봉땅,1,베이커리,서울 송파구 백제고분로41길 42-8 1층 봉땅,석촌역 1번 출구에서 662m,0507-1396-7799,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1172833362?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수(5/8) 휴무', '목(5/9) 휴무', '금 10:30 - 22:00', '토 10:30 - 22:00', '일 10:30 - 22:00', '월 10:30 - 22:00', '화 10:30 - 22:00', '']"
런던베이글뮤지엄 잠실점,1,베이커리,서울 송파구 올림픽로 300 롯데월드몰 1층,잠실역 11번 출구에서 16m,,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1490432811?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 10:30 - 22:00 21:30 라스트오더', '목 10:30 - 22:00 21:30 라스트오더', '금 10:30 - 22:00 21:30 라스트오더', '토 10:30 - 22:00 21:30 라스트오더', '일 10:30 - 22:00 21:30 라스트오더', '월 10:30 - 22:00 21:30 라스트오더', '화 10:30 - 22:00 21:30 라스트오더']"
진저베어,1,"카페,디저트",서울 송파구 백제고분로41길 43-7 1층,석촌역 1번 출구에서 4m,,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1616346596?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['매일 12:00 - 21:00', '줄서는식당 44회, 22.12.05. 2022년 12월 5일  클래식미트파이/크리미치킨머시룸파이/풀드포크파이', '']"
카페아일랜드,1,"카페,디저트",서울 송파구 올림픽로35길 93 상가 1층 105호,잠실나루역 3번 출구에서 346m,02-416-2512,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1938060093?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 08:00 - 22:00 21:30 라스트오더', '목 08:00 - 22:00 21:30 라스트오더', '금 08:00 - 22:00 21:30 라스트오더', '토 10:00 - 21:00 20:30 라스트오더', '일 10:00 - 19:00 18:30 라스트오더', '월 08:00 - 22:00 21:30 라스트오더', '화 08:00 - 22:00 21:30 라스트오더']"
프렛티 롯데월드몰점,1,베이커리,서울 송파구 올림픽로 300 롯데백화점 롯데월드몰점 지하1층 프렛티,잠실역 10번 출구에서 13m,,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1448127517?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 10:30 - 22:00', '목 10:30 - 22:00', '금 10:30 - 22:00', '토 10:30 - 22:00', '일 10:30 - 22:00', '월 10:30 - 22:00', '화 10:30 - 22:00']"
노아베이커리 잠실엘스점,1,베이커리,서울 송파구 올림픽로 119 잠실파인애플상가,잠실새내역 5번 출구에서 m,02-416-7588,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/36932874?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 09:00 - 21:00 20:30 라스트오더', '목 09:00 - 21:00 20:30 라스트오더', '금 09:00 - 21:00 20:30 라스트오더', '토 09:00 - 21:00 20:30 라스트오더', '일 09:00 - 20:30 20:00 라스트오더', '월 09:00 - 21:00 20:30 라스트오더', '화 09:00 - 21:00 20:30 라스트오더']"
아우어베이커리 롯데백화점잠실점,1,베이커리,서울 송파구 올림픽로 240 지하 1층,잠실역 3번 출구에서 5m,02-2143-7047,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/479786468?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 10:30 - 20:00 19:30 라스트오더', '목 10:30 - 20:00 19:30 라스트오더', '금 10:30 - 20:30 20:00 라스트오더', '토 10:30 - 20:30 20:00 라스트오더', '일 10:30 - 20:30 20:00 라스트오더', '월 10:30 - 20:00 19:30 라스트오더', '화 10:30 - 20:00 19:30 라스트오더']"
빙설아,1,빙수,서울 송파구 올림픽로35가길 9 잠실 푸르지오 월드마크 지하1층 빙설아,잠실나루역 3번 출구에서 411m,02-2202-0643,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/35873382?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 12:00 - 20:30 17:00 - 18:30 브레이크타임 20:00 라스트오더', '목 12:00 - 20:30 17:00 - 18:30 브레이크타임 20:00 라스트오더', '금 12:00 - 20:30 17:00 - 18:30 브레이크타임 20:00 라스트오더', '토 12:00 - 20:30 17:30 - 18:30 브레이크타임 20:00 라스트오더', '일 12:00 - 20:30 17:30 - 18:30 브레이크타임 20:00 라스트오더', '월 정기휴무 (매주 월요일)', '화 12:00 - 20:30 17:00 - 18:30 브레이크타임 20:00 라스트오더']"
케키하우스,1,케이크전문,서울 송파구 백제고분로41길 35 2층,석촌역 1번 출구에서 453m,,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1766488022?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 12:00 - 21:00', '목 12:00 - 21:00', '금 12:00 - 21:00', '토 12:00 - 21:00', '일 12:00 - 21:00', '월 12:00 - 21:00', '화 정기휴무 (매주 화요일)']"
리프커피바,1,"카페,디저트",서울 송파구 백제고분로43길 24 1층 리프커피바,송파나루역 1번 출구에서 480m,0507-1456-5886,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1306412205?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 10:00 - 22:00 21:30 라스트오더', '목 10:00 - 22:00 21:30 라스트오더', '금 10:00 - 22:00 21:30 라스트오더', '토 10:00 - 22:00 21:30 라스트오더', '일 10:00 - 22:00 21:30 라스트오더', '월 10:00 - 22:00 21:30 라스트오더', '화 10:00 - 22:00 21:30 라스트오더']"
선호커피,1,카페,서울 송파구 송이로2길 4 1층 선호커피,송파역 1번 출구에서 621m,0507-1468-1465,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1410050359?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 08:00 - 16:00 15:30 라스트오더', '목 08:00 - 16:00 15:30 라스트오더', '금 08:00 - 16:00 15:30 라스트오더', '토 10:00 - 18:00 17:30 라스트오더', '일 10:00 - 18:00 17:30 라스트오더', '월 정기휴무 (매주 월요일)', '화 08:00 - 16:00 15:30 라스트오더']"
젤라띠젤라띠 KT송파타워점,1,아이스크림,서울 송파구 잠실로 209 KT송파타워 1층,잠실역 10번 출구에서 319m,02-422-3281,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1547745452?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 10:30 - 22:00', '목 10:30 - 22:00', '금 10:30 - 23:00', '토 11:00 - 23:00', '일 11:00 - 22:00', '월 10:30 - 22:00', '화 10:30 - 22:00']"
단하나케이크 신천점,1,케이크전문,서울 송파구 백제고분로7길 33 3층,잠실새내역 4번 출구에서 65m,0507-1408-1311,0,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/13569557?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['수 11:00 - 20:00', '목 11:00 - 20:00', '금 11:00 - 20:00', '토 11:00 - 20:00', '일 11:00 - 18:00', '월 11:00 - 20:00', '화 정기휴무 (매주 화요일)', '우리는한국인 188회, 14.06.12. 2014년 6월 12일  ']"
