name,category,sub_category,address,dist_from_station,contact,platform,url,opneing_hours
카츠업 홍대점,0,돈가스,서울 마포구 홍익로 10 서교푸르지오 101동 142호,홍대입구역 9번 출구에서 54m,0507-1414-5770,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1157398737?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%25259D%25258C%2525EC%25258B%25259D%2525EC%2525A0%252590","['화 11:00 - 21:50 20:50 라스트오더', '수 11:00 - 21:50 20:50 라스트오더', '목 11:00 - 21:50 20:50 라스트오더', '금 11:00 - 21:50 20:50 라스트오더', '토 11:00 - 21:50 20:50 라스트오더', '일 11:00 - 21:50 20:50 라스트오더', '월 11:00 - 21:50 20:50 라스트오더']"
수부니흐,0,양식,서울 마포구 동교로38길 35 2층,홍대입구역 3번 출구에서 48m,02-335-7472,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/135080827?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%25259D%25258C%2525EC%25258B%25259D%2525EC%2525A0%252590","['화 정기휴무 (매주 화요일)', '수 12:00 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더', '목 12:00 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더', '금 12:00 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더', '토 12:00 - 22:00 21:00 라스트오더', '일 12:00 - 21:00 20:00 라스트오더', '월 12:00 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더']"
이츠야,0,돈가스,서울 마포구 양화로6길 99-9,상수역 1번 출구에서 379m,02-336-9244,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1954904928?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 정기휴무 (매주 화요일)', '수 정기휴무 (매주 수요일)', '목 12:00 - 15:00', '금 12:00 - 15:00', '토 12:00 - 15:00', '일 12:00 - 15:00', '월 정기휴무 (매주 월요일)']"
쟁반집8292 홍대점,0,"육류,고기요리",서울 마포구 와우산로29길 66,홍대입구역 7번 출구에서 171m,0507-1390-8295,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1246697901?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 12:00 - 02:00']
일편등심 홍대본점,0,"육류,고기요리",서울 마포구 홍익로6길 52 3층 일편등심,홍대입구역 8번 출구에서 11m,0507-1403-1092,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/34565224?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 12:00 - 23:00 15:00 - 17:00 브레이크타임 22:00 라스트오더']
라 룬 비올렛,0,양식,서울 마포구 월드컵북로4길 25 1층,홍대입구역 1번 출구에서 65m,0507-1337-9463,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/20468464?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 12:00 - 22:00 15:30 - 17:30 브레이크타임', '수 12:00 - 22:00 15:30 - 17:30 브레이크타임', '목 12:00 - 22:00 15:30 - 17:30 브레이크타임', '금 12:00 - 22:00 15:30 - 17:30 브레이크타임', '토 12:00 - 22:00 15:30 - 17:30 브레이크타임', '일 12:00 - 22:00 15:30 - 17:30 브레이크타임', '월 12:00 - 22:00 15:30 - 17:30 브레이크타임', '2014테이스티로드 20회, 14.06.06. 2014년 6월 6일  퀘일타란티노/장어포와레']"
수지앤파스타,0,"스파게티,파스타전문",서울 마포구 독막로15길 3-18,상수역 1번 출구에서 208m,0507-1305-8780,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/37192534?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화(5/7) 휴무', '수 11:30 - 21:30 16:10 - 17:00 브레이크타임 21:00 라스트오더', '목 11:30 - 21:30 16:10 - 17:00 브레이크타임 21:00 라스트오더', '금 11:30 - 21:30 16:10 - 17:00 브레이크타임 21:00 라스트오더', '토 11:30 - 21:30 16:10 - 17:00 브레이크타임 21:00 라스트오더', '일 11:30 - 21:30 16:10 - 17:00 브레이크타임 21:00 라스트오더', '월(5/13) 휴무', '05/20 휴무']"
우동 카덴,0,"우동,소바",서울 마포구 양화로7안길 2-1,합정역 번 출구에서 1m,02-6463-6362,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/34393996?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 11:30 - 21:00 14:40 - 17:30 브레이크타임 20:30 라스트오더', '수 11:30 - 21:00 14:40 - 17:30 브레이크타임 20:30 라스트오더', '목 11:30 - 21:00 14:40 - 17:30 브레이크타임 20:30 라스트오더', '금 11:30 - 21:00 14:40 - 17:30 브레이크타임 20:30 라스트오더', '토 11:30 - 20:30 20:00 라스트오더', '일 정기휴무 (매주 일요일)', '월 11:30 - 21:00 14:40 - 17:30 브레이크타임 20:30 라스트오더', '맛있는녀석들 54회, 16.03.04. 2016년 3월 4일  일본우동', '', '']"
스케줄합정,0,양식,서울 마포구 양화로6길 33 1층,합정역 5번 출구에서 183m,0507-1338-2622,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1836765337?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 11:00 - 23:00 22:00 라스트오더']
로쏘 1924 나폴리 화덕피자 홍대점,0,피자,서울 마포구 홍익로 29 1층 로쏘 1924 나폴리 화덕피자,홍대입구역 9번 출구에서 45m,0507-1332-1924,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/1017474885?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 11:00 - 21:30 21:00 라스트오더', '수 11:00 - 21:30 21:00 라스트오더', '목 11:00 - 21:30 21:00 라스트오더', '금 11:00 - 21:30 21:00 라스트오더', '토 11:00 - 21:30 21:00 라스트오더', '일 11:00 - 21:30 21:00 라스트오더', '월 11:00 - 21:30 21:00 라스트오더', '생방송투데이 2838회, 21.06.04. 2021년 6월 4일  피자', '']"
육몽 홍대본점,0,"육류,고기요리",서울 마포구 양화로16길 19 1-3층,홍대입구역 9번 출구에서 470m,0507-1447-1149,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%9D%8C%EC%8B%9D%EC%A0%90/place/313241250?c=14.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 11:30 - 24:00', '수 11:30 - 24:00', '목 11:30 - 24:00', '금 11:30 - 01:00', '토 11:30 - 01:00', '일 11:30 - 01:00', '월 11:30 - 24:00']"
