,rst_name,menu_name,price,url
0,연주방 송리단길점,모듬 해산물 中<2인>/大<3~4인>,"39,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
1,연주방 송리단길점,연주방막회,"32,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
2,연주방 송리단길점,우니 단새우 한판,,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
3,연주방 송리단길점,돌문어숙회,"38,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
4,연주방 송리단길점,낙지 탕탕이,,"https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
5,연주방 송리단길점,통영 가리비찜 大,"38,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
6,연주방 송리단길점,불고기 낙지전골,"39,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
7,연주방 송리단길점,연포탕,"39,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
8,연주방 송리단길점,미나리낙지전,"25,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
9,연주방 송리단길점,소고기육전,"22,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
10,연주방 송리단길점,통새우전,"22,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
11,연주방 송리단길점,석화 한접시,"27,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
12,연주방 송리단길점,A Set 모듬해산물中+육전ro새우전,"60,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
13,연주방 송리단길점,B Set 모듬해산물中+가리비찜中,"58,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
14,연주방 송리단길점,해삼 한접시,"20,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1604419723?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
15,콤마,샐러드 냉 파스타,"15,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
16,콤마,뽈뽀,"24,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
17,콤마,타파스 콤마,"16,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
18,콤마,갈릭버터새우,"22,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
19,콤마,“겉바속촉” 닭가슴살 샐러드,"16,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
20,콤마,바지락술찜,"20,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
21,콤마,투움바파스타,"19,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
22,콤마,라구 파스타,"16,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
23,콤마,항정살 간장구이,"22,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
24,콤마,스파이시 버터 치킨카레,"23,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
25,콤마,치즈불닭,"22,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
26,콤마,매콤 순살 닭볶음탕,"28,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
27,콤마,감바스,"20,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
28,콤마,멜론 브라운치즈,"15,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
29,콤마,트러플 짜파게티,"11,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1378682368?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%252588%2525A0%2525EC%2525A7%252591"
30,구주 잠실새내점,진격의 구주도넛,"33,500","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
31,구주 잠실새내점,유린기,"18,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
32,구주 잠실새내점,바지락술찜,"20,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
33,구주 잠실새내점,오뎅나베,"24,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
34,구주 잠실새내점,육회노리마키,"26,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
35,구주 잠실새내점,호르몬냄비전골,"29,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
36,구주 잠실새내점,커리갈비후라이드,"22,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
37,구주 잠실새내점,부타니쿠(갈비양념),"24,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
38,구주 잠실새내점,쿠시카츠모듬(튀김),"19,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
39,구주 잠실새내점,홍짬뽕,"21,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
40,구주 잠실새내점,백짬뽕,"21,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
41,구주 잠실새내점,일본식 닭백숙,"27,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
42,구주 잠실새내점,불고기카펠리니,"23,900","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%88%A0%EC%A7%91/place/1078911965?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp"
