,rst_name,menu_name,price,url
0,틸로스터스,시나몬롤,"4,000","https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1914770644?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
1,틸로스터스,클래식티라미수,"7,000","https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1914770644?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
2,틸로스터스,FILTER,,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1914770644?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
3,틸로스터스,ICED AMERICANO,"4,500","https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1914770644?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
4,틸로스터스,LOWLAND LATTE,"6,000","https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1914770644?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
5,틸로스터스,STRAPAZZATO,"3,500","https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1914770644?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
6,틸로스터스,ESPRESSO,"3,000","https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1914770644?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
7,틸로스터스,HONEY ROOIBOS ORANGE,"6,000","https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1914770644?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
8,블랙베어도넛 망원점,도넛 케이크(사전주문),"32,000","https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1584450402?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
9,블랙베어도넛 망원점,미니도넛박스,"16,000","https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1584450402?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598"
