name,category,sub_category,address,dist_from_station,contact,platform,url,opneing_hours
틸로스터스,1,"카페,디저트",서울 마포구 신촌로2길 5-14 1층,홍대입구역 5번 출구에서 18m,0507-1332-9146,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1914770644?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598","['화 09:00 - 18:00', '수 09:00 - 18:00', '목 09:00 - 18:00', '금 09:00 - 18:00', '토 12:00 - 20:00', '일 12:00 - 20:00', '월 09:00 - 18:00', '05/16-05/19 휴무']"
블랙베어도넛 망원점,1,"카페,디저트",서울 마포구 성미산로6길 53 1층 블랙베어도넛 망원점,망원역 1번 출구에서 133m,0507-1335-5812,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1584450402?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525ED%252599%25258D%2525EB%25258C%252580%2525EC%2525B9%2525B4%2525ED%25258E%252598","['화 11:00 - 20:00', '수 11:00 - 20:00', '목 11:00 - 20:00', '금 11:00 - 20:00', '토 11:00 - 21:00', '일 11:00 - 21:00', '월 11:00 - 20:00']"
아오이토리,1,베이커리,서울 마포구 와우산로29길 8 K.C빌딩,홍대입구역 7번 출구에서 374m,02-333-0421,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/34658234?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['매일 09:00 - 21:00', '배틀트립 4회, 16.05.07. 2016년 5월 7일  야키소바빵/말차멜론빵/새우커틀릿버거', '', '']"
라헬의부엌 홍대점,1,"카페,디저트","서울 마포구 와우산로29길 47 1,2층",홍대입구역 7번 출구에서 18m,02-332-4325,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1968041382?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 11:00 - 21:00 20:00 라스트오더', '수 11:00 - 21:00 20:00 라스트오더', '목 11:00 - 21:00 20:00 라스트오더', '금 11:00 - 21:00 20:00 라스트오더', '토 11:00 - 21:00 20:00 라스트오더', '일 11:00 - 21:00 20:00 라스트오더', '월 11:00 - 21:00 20:00 라스트오더']"
고요베이크샵,1,"카페,디저트",서울 마포구 동교로 144-3 단독주택,홍대입구역 1번 출구에서 507m,0507-1309-7421,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1176174041?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 11:00 - 21:00']
커피 벌스데이,1,"카페,디저트",서울 마포구 와우산로29길 26-33 1층 커피 벌스데이,홍대입구역 7번 출구에서 76m,0507-1449-2353,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1213231016?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 11:00 - 20:50']
카페 공명 연남점,1,"카페,디저트",서울 마포구 연희로 11 1층 카페 공명 연남,홍대입구역 3번 출구에서 45m,0507-1337-6304,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1176845784?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 10:00 - 22:00 21:30 라스트오더', '수 10:00 - 22:00 21:30 라스트오더', '목 10:00 - 22:00 21:30 라스트오더', '금 10:00 - 22:00 21:30 라스트오더', '토 10:00 - 22:00 21:30 라스트오더', '일 10:00 - 22:00 21:30 라스트오더', '월 10:00 - 22:00 21:30 라스트오더']"
베리블리스,1,"카페,디저트",서울 마포구 와우산로27길 20 1층,홍대입구역 7번 출구에서 43m,0507-1396-7847,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1249889236?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 11:00 - 22:00', '수 11:00 - 22:00', '목 11:00 - 22:00', '금 11:00 - 22:00', '토 11:00 - 22:00', '일 12:00 - 21:00', '월 11:00 - 22:00']"
피오니,1,케이크전문,서울 마포구 독막로7길 51,합정역 3번 출구에서 45m,02-333-5325,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/19866326?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp","['화 12:00 - 22:00 21:00 라스트오더', '수 12:00 - 22:00 21:00 라스트오더', '목 12:00 - 22:00 21:00 라스트오더', '금 12:00 - 22:00 21:00 라스트오더', '토 12:00 - 22:00 21:00 라스트오더', '일 12:00 - 22:00 21:00 라스트오더', '월 12:00 - 22:00 21:00 라스트오더', '생활의달인 320회, 12.01.23. 2012년 1월 23일  케이크']"
수상한베이글 홍대,1,카페,서울 마포구 와우산로15길 22,상수역 1번 출구에서 241m,0507-1315-4096,0,"https://map.naver.com/p/search/%ED%99%8D%EB%8C%80%20%EC%B9%B4%ED%8E%98/place/1447452112?c=13.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",['매일 09:30 - 22:00']
